Project,Model,Accuracy,Precision,Recall,F1,AUC,PosRecall,PosF1
pytorch,Naive Bayes,0.6395 +/- 0.0382,0.6153 +/- 0.0140,0.7540 +/- 0.0258,0.5685 +/- 0.0298,0.8448 +/- 0.0262,0.9080 +/- 0.0457,0.3942 +/- 0.0283
pytorch,Logistic Regression,0.8444 +/- 0.0213,0.6900 +/- 0.0295,0.7667 +/- 0.0406,0.7146 +/- 0.0325,0.8755 +/- 0.0216,0.6621 +/- 0.0828,0.5222 +/- 0.0537
tensorflow,Naive Bayes,0.5593 +/- 0.0250,0.6357 +/- 0.0108,0.7108 +/- 0.0193,0.5407 +/- 0.0216,0.8624 +/- 0.0179,0.9536 +/- 0.0256,0.4489 +/- 0.0167
tensorflow,Logistic Regression,0.8568 +/- 0.0159,0.7694 +/- 0.0198,0.8377 +/- 0.0213,0.7937 +/- 0.0206,0.9227 +/- 0.0131,0.8071 +/- 0.0371,0.6797 +/- 0.0310
keras,Naive Bayes,0.5665 +/- 0.0346,0.6394 +/- 0.0147,0.7032 +/- 0.0250,0.5508 +/- 0.0300,0.8512 +/- 0.0283,0.9341 +/- 0.0357,0.4685 +/- 0.0216
keras,Logistic Regression,0.8610 +/- 0.0207,0.7855 +/- 0.0289,0.8111 +/- 0.0336,0.7958 +/- 0.0293,0.9082 +/- 0.0204,0.7268 +/- 0.0674,0.6806 +/- 0.0463
incubator-mxnet,Naive Bayes,0.5869 +/- 0.0547,0.6054 +/- 0.0174,0.7309 +/- 0.0385,0.5300 +/- 0.0423,0.8632 +/- 0.0367,0.9250 +/- 0.0574,0.3686 +/- 0.0348
incubator-mxnet,Logistic Regression,0.8899 +/- 0.0216,0.7556 +/- 0.0481,0.7671 +/- 0.0541,0.7601 +/- 0.0491,0.9062 +/- 0.0255,0.6017 +/- 0.1029,0.5837 +/- 0.0865
caffe,Naive Bayes,0.5283 +/- 0.0979,0.5749 +/- 0.0233,0.6680 +/- 0.0503,0.4680 +/- 0.0641,0.7443 +/- 0.0571,0.8500 +/- 0.1360,0.2992 +/- 0.0370
caffe,Logistic Regression,0.8589 +/- 0.0289,0.6566 +/- 0.0662,0.6408 +/- 0.0586,0.6449 +/- 0.0586,0.7886 +/- 0.0611,0.3567 +/- 0.1146,0.3695 +/- 0.1042
